SessionID,ParticipantCode,FinalPageVisited,GroupID,ID_in_Group,Treatment,Round,SubgroupID,ID_in_Subgroup,S1,S2,S3,SelfProposal,Selected_Proposal,Vote,Approved,Num_of_Approvals,Earnings,CompletionCode
1,czu5en3h,Party,,1,Baseline,1,,,,,,,{},0,0,0,0.0,
1,czu5en3h,Party,,1,Baseline,2,,,,,,,{},0,0,0,0.0,
1,czu5en3h,Party,,1,Baseline,3,,,,,,,{},0,0,0,0.0,
2,fcph3l91,SyncBottom,6,8,Baseline,1,2.0,3.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 1, ""proposal"": {""s1"": 20, ""s2"": 5, ""s3"": 5}}}",1,1,3,10.0,
2,fcph3l91,SyncBottom,6,8,Baseline,2,2.0,1.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 2, ""proposal"": {""s1"": 5, ""s2"": 20, ""s3"": 5}}}",1,1,2,10.0,
2,fcph3l91,SyncBottom,6,8,Baseline,3,,,,,,,{},0,0,0,0.0,
3,wtzo9b3v,ResultsPage,6,5,Baseline,1,3.0,1.0,20.0,5.0,5.0,20.0,"{""1"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 1, ""proposal"": {""s1"": 20, ""s2"": 5, ""s3"": 5}}}",1,1,3,20.0,
3,wtzo9b3v,ResultsPage,6,5,Baseline,2,3.0,1.0,20.0,5.0,5.0,20.0,"{""1"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 2, ""proposal"": {""s1"": 5, ""s2"": 20, ""s3"": 5}}}",0,1,2,5.0,
3,wtzo9b3v,ResultsPage,6,5,Baseline,3,,,,,,,{},0,0,0,0.0,
4,af3kvfbx,ProposerPage,62,6,Priming,1,,,,,,,{},0,0,0,0.0,
