SessionID,ParticipantCode,FinalPageVisited,CompletionCode,FixedFee,Bonus,SurveyFee,TotalPayment
1,jragf3gy,PaymentInfo,DO-000XKD,0.0,0.0,0.0,0.0
2,m46ryw4p,PaymentInfo,PFBS-993JDQ,2.0,6.25,1.0,9.25
3,1b9eppol,PaymentInfo,PFBS-993JDQ,2.0,2.5,1.0,5.5
4,xmbgo6go,PaymentInfo,DO-000XKD,0.0,0.0,0.0,0.0
5,0j3b9fcd,PaymentInfo,PFS-323ADQ,2.0,0.0,1.0,3.0
6,yao2wbik,PaymentInfo,PFS-323ADQ,2.0,0.0,1.0,3.0
7,yxsv2ns3,,,0.0,0.0,0.0,0.0
8,pgkve5d1,,,0.0,0.0,0.0,0.0
9,mcrl594h,,,0.0,0.0,0.0,0.0
10,zyvuttyx,,,0.0,0.0,0.0,0.0
11,8ghnzcyf,,,0.0,0.0,0.0,0.0
12,gvyntsuy,,,0.0,0.0,0.0,0.0
13,e3fl58gp,,,0.0,0.0,0.0,0.0
14,jbpryu81,,,0.0,0.0,0.0,0.0
15,m9sabbd1,,,0.0,0.0,0.0,0.0
16,t3fvgv5o,,,0.0,0.0,0.0,0.0
17,dbbb1fjb,,,0.0,0.0,0.0,0.0
18,qdswh7ex,,,0.0,0.0,0.0,0.0
19,wpi9zuu0,,,0.0,0.0,0.0,0.0
20,nepl7h73,,,0.0,0.0,0.0,0.0
21,908p534j,,,0.0,0.0,0.0,0.0
22,ty80pgyx,,,0.0,0.0,0.0,0.0
23,a51z91gs,,,0.0,0.0,0.0,0.0
24,mpejpehc,,,0.0,0.0,0.0,0.0
25,5y9um1k2,,,0.0,0.0,0.0,0.0
26,cm806z76,,,0.0,0.0,0.0,0.0
27,fwltqtye,,,0.0,0.0,0.0,0.0
28,gm4i7f9u,,,0.0,0.0,0.0,0.0
29,fk12mjfu,,,0.0,0.0,0.0,0.0
30,eldkqd4h,,,0.0,0.0,0.0,0.0
31,d8c3vecp,,,0.0,0.0,0.0,0.0
32,u5558lvb,PaymentInfo,NG-5582XJ,2.0,0.0,0.0,2.0
33,eawor8u8,SampleInstructions,,0.0,0.0,0.0,0.0
34,bwe33j0o,,,0.0,0.0,0.0,0.0
35,dzzn2ar8,,,0.0,0.0,0.0,0.0
36,db74lslp,FailedPage,,0.0,0.0,0.0,0.0
