SessionID,ParticipantCode,FinalPageVisited,Treatment,cmt_propr,cmt_vtr,age,sex,trans_1,trans_2,power_q1a,power_q1b,power_q2,power_q3,atq_1,atq_2,atq_3,econ,risk
1,czu5en3h,Party,Baseline,,,,,,,,,,,,,,,
2,fcph3l91,SyncBottom,Baseline,,,,,,,,,,,,,,,
3,wtzo9b3v,ResultsPage,Baseline,,,,,,,,,,,,,,,
4,af3kvfbx,ProposerPage,Priming,,,,,,,,,,,,,,,
5,13mhdbsb,WelcomePage,Baseline,,,,,,,,,,,,,,,
6,5enuuygf,SyncBottom,Baseline,,,,,,,,,,,,,,,
7,wn7n1dju,SyncBottom,Baseline,,,,,,,,,,,,,,,
8,vtba254v,WaitingPage,Priming,,,,,,,,,,,,,,,
9,urggnryi,VoterPage,Baseline,,,,,,,,,,,,,,,
10,9kmvxh8k,Part3,Priming,I wanted everyone to get an equal amount since that seemed fair.,If the proposer was fair about the distribution or not.,53.0,2.0,1.0,1.0,,,,,,,,,
11,3o6mlsyr,Part6,Baseline,I wanted everything to be fair for everyone ,I wanted everything to be fair for everyone ,47.0,2.0,1.0,1.0,1.0,3.0,3.0,5.0,47.0,5.0,1.05,0.0,5.0
12,lte762ld,SyncBottom,Baseline,,,,,,,,,,,,,,,
13,8yrdlcfh,Part4,Priming,I thought I should split the tokens fairly among the participants. ,"I thought about how fair the proposal was, but also the fact that everyone would get nothing if we voted No. ",30.0,2.0,1.0,1.0,2.0,3.0,4.0,3.0,,,,,
14,ibrrflhc,ExperimentInstructions,Baseline,,,,,,,,,,,,,,,
15,1yec0poj,WelcomePage,Baseline,,,,,,,,,,,,,,,
16,zi1ppt71,SyncBottom,Baseline,,,,,,,,,,,,,,,
17,acmbo8jo,SyncBottom,Baseline,,,,,,,,,,,,,,,
18,7rssh5ja,Part4,Priming,I wanted the most for myself but also gave enough to the other participants to where I expected them not to reject the proposal.,"If it was for 0 coins, I was going to reject out of spite.",31.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,,,,,
