SessionID,ParticipantCode,FinalPageVisited,ExperimentStartTime,GameStartTime,GameEndTime,ExperimentEndTime,GameDuration,ExperimentDuration
1,jragf3gy,PaymentInfo,2025-07-28 04:21:47.563,2025-07-28 04:29:59.353,2025-07-28 04:35:11.505,,05:12,
2,m46ryw4p,PaymentInfo,2025-07-28 04:24:18.061,2025-07-28 04:29:59.365,2025-07-28 04:37:47.120,2025-07-28 06:23:39.244,07:47,119:21
3,1b9eppol,PaymentInfo,2025-07-28 04:28:00.429,2025-07-28 04:29:58.946,2025-07-28 04:40:38.053,2025-07-28 06:23:53.318,10:39,115:52
4,xmbgo6go,PaymentInfo,2025-07-28 04:39:32.566,2025-07-28 04:40:28.378,,,,
5,0j3b9fcd,PaymentInfo,2025-07-28 04:39:10.628,2025-07-28 04:40:28.366,,,,
6,yao2wbik,PaymentInfo,2025-07-28 04:39:56.517,2025-07-28 04:40:27.511,,,,
7,yxsv2ns3,,,,,,,
8,pgkve5d1,,,,,,,
9,mcrl594h,,,,,,,
10,zyvuttyx,,,,,,,
11,8ghnzcyf,,,,,,,
12,gvyntsuy,,,,,,,
13,e3fl58gp,,,,,,,
14,jbpryu81,,,,,,,
15,m9sabbd1,,,,,,,
16,t3fvgv5o,,,,,,,
17,dbbb1fjb,,,,,,,
18,qdswh7ex,,,,,,,
19,wpi9zuu0,,,,,,,
20,nepl7h73,,,,,,,
21,908p534j,,,,,,,
22,ty80pgyx,,,,,,,
23,a51z91gs,,,,,,,
24,mpejpehc,,,,,,,
25,5y9um1k2,,,,,,,
26,cm806z76,,,,,,,
27,fwltqtye,,,,,,,
28,gm4i7f9u,,,,,,,
29,fk12mjfu,,,,,,,
30,eldkqd4h,,,,,,,
31,d8c3vecp,,,,,,,
32,u5558lvb,PaymentInfo,2025-07-28 04:46:11.911,,,,,
33,eawor8u8,SampleInstructions,2025-07-28 04:46:36.194,,,,,
34,bwe33j0o,,,,,,,
35,dzzn2ar8,,,,,,,
36,db74lslp,FailedPage,2025-07-28 04:46:58.522,,,,,
